src,dest,hourlyPassengers
SCZ,MOF,"[4,5,2,9,9,0,0,6,1,5,4,7,3,2,8,3,9,1,0,4,7,2,3,1]"
SCZ,BER,"[2,1,9,3,8,4,4,2,7,9,0,0,5,1,8,5,3,4,5,7,8,6,6,9]"
SCZ,MER,"[6,9,0,3,1,2,8,7,3,3,6,8,4,9,0,1,5,2,8,6,4,9,9,2]"
SCZ,DAV,"[0,7,5,2,3,8,2,1,0,9,6,2,6,6,4,8,7,8,3,1,6,5,0,4]"
MOF,SCZ,"[1,0,1,7,8,6,8,3,9,3,6,9,0,2,2,4,8,6,7,7,1,5,2,8]"
MOF,BER,"[2,9,3,6,5,0,5,8,6,6,7,0,9,1,3,7,2,2,4,5,8,2,0,7]"
MOF,MER,"[0,2,4,3,9,1,7,6,1,8,4,8,0,9,3,5,2,6,1,9,4,3,2,1]"
MOF,DAV,"[8,1,2,7,5,9,4,8,3,0,1,5,5,1,0,9,8,6,7,3,6,0,9,4]"
BER,SCZ,"[3,2,5,5,7,8,9,0,1,3,4,4,2,6,9,8,3,7,5,6,2,1,4,3]"
BER,MOF,"[9,4,2,1,2,9,6,4,5,0,8,3,7,1,0,2,1,6,8,9,5,4,2,7]"
BER,MER,"[6,1,9,0,3,5,2,8,7,2,6,9,6,0,0,4,3,2,5,1,7,8,9,5]"
BER,DAV,"[4,8,1,4,2,7,7,1,6,4,0,0,6,3,2,5,8,3,9,9,7,6,2,1]"
MER,SCZ,"[0,3,2,8,9,4,1,8,1,6,6,3,7,4,9,0,2,6,3,5,1,8,7,2]"
MER,MOF,"[1,9,6,6,0,8,3,9,9,2,1,5,6,0,8,1,0,7,3,9,5,4,2,3]"
MER,BER,"[9,2,0,3,7,7,2,5,8,9,1,8,4,4,4,2,1,6,0,5,1,9,8,0]"
MER,DAV,"[3,1,1,9,5,0,5,8,8,6,3,2,4,1,7,9,9,3,0,2,6,4,1,6]"
DAV,SCZ,"[7,0,2,2,3,9,6,2,3,5,8,8,0,6,2,4,6,1,7,2,1,2,4,5]"
DAV,MOF,"[4,9,3,8,7,6,5,2,1,1,4,7,6,0,2,9,7,1,2,3,8,6,0,1]"
DAV,BER,"[1,6,2,5,4,4,0,9,7,5,2,8,9,1,3,2,5,6,2,2,9,0,8,3]"
DAV,MER,"[3,3,8,4,2,9,5,1,1,0,0,7,3,5,3,3,0,3,1,8,6,6,1,9]"

